row_number,query,expected_answer,source_document,page_number,category,citation,difficulty,tags,notes,status,query_length,answer_length
27,What statutory rules or administrative provisions apply to Chief Financial?,"Any award, compromise, or settlement in an amount of $2,500 or less made pursuant to this action will be paid by the Chief Financial Officer out of appropriations available to the National Labor Rela- tions Board.",Title29_Vol2.pdf,19,Acts,Page 19,,,,valid,75,213
28,What statutory rules or administrative provisions apply to Execu Order?,"These procedures are pursu- ant to the authority set forth in Execu- tive Order 11482, dated September 22, 1969.",Title29_Vol4.pdf,17,Acts,Page 17,,,,valid,71,112
29,What statutory rules or administrative provisions apply to Commission Executive?,The Commission delegates authority to the Executive Director to accept or reject requests for Commission in- volvement in those instances where a Commission meeting would not occur in sufficient time prior to a contract expiration date to permit such involve- ment.,Title29_Vol4.pdf,18,Acts,Page 18,,,,valid,80,265
30,What statutory rules or administrative provisions apply to Inter Commerce?,"The term carrier includes any express company, sleeping car company, car- rier by railroad, subject to the Inter- state Commerce Act (24 Stat.",Title29_Vol4.pdf,21,Acts,Page 21,,,,valid,74,142
31,What statutory rules or administrative provisions apply to Rules?,"5 CHAPTER XVII—OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION, DEPARTMENT OF LABOR (CONTINUED) Part Page 1911 Rules of procedure for promulgating, modifying, or revoking occupational safety or health s...",Title29_Vol7.pdf,15,Acts,Page 15,,,,valid,65,203
32,What statutory rules or administrative provisions apply to Assist Secretary?,"The committee shall submit to the Assist- ant Secretary its recommendations re- garding the rule to be promulgated within the period prescribed by the As- sistant Secretary, which in no event shall be longer than 270 days.",Title29_Vol7.pdf,18,Acts,Page 18,,,,valid,76,222
33,What statutory rules or administrative provisions apply to Reserved Depositaries?,"5 CHAPTER II—FISCAL SERVICE, DEPARTMENT OF THE TREASURY SUBCHAPTER A—BUREAU OF THE FISCAL SERVICE Part Page 200–201 [Reserved] 202 Depositaries and financial agents of the Federal Government ............",Title31-Vol2.pdf,15,Acts,Page 15,,,,valid,81,203
34,What statutory rules or administrative provisions apply to State Local?,Treasury securities—State and Local Govern- ment Series ..........................................................,Title31-Vol2.pdf,17,Acts,Page 17,,,,valid,71,114
35,What statutory rules or administrative provisions apply to Bureau?,"An em- ployee with questions about generally accepted rules of conduct, the specific provisions of this part, and other appli- cable regulations should consult his or her supervisor, a human resources spe- cialist, or Bureau counsel.",Title31_Vol1.pdf,16,Acts,Page 16,,,,valid,66,233
36,What statutory rules or administrative provisions apply to Requirements Deviations?,The HHSAR contains— (i) Requirements of law; (ii) HHS-wide policies; (iii) Deviations from FAR require- ments; and (iv) Policies that have a significant effect beyond the internal procedures of HHS or a significant cost or admin- istrative impact on contractors or offerors.,Title48-Vol4.pdf,15,Acts,Page 15,,,,valid,83,274
37,What statutory rules or administrative provisions apply to Health Human?,7 Health and Human Services 303.203 the specified delivery date(s) or within the period of performance; and (3) The contractor performs within cost ceiling stated in the contract or order. CORs must m...,Title48-Vol4.pdf,17,Acts,Page 17,,,,valid,72,203
38,What statutory rules or administrative provisions apply to Nomenclature Aug?,"5 CHAPTER X—SURFACE TRANSPORTATION BOARD EDITORIAL NOTE: Nomenclature changes to chapter X appear at 62 FR 42075, Aug. 5, 1997. SUBCHAPTER A—GENERAL RULES AND REGULATIONS PARTS 1000–1019—GENERAL PROVI...",Title49-vol8.pdf,15,Acts,Page 15,,,,valid,76,203
39,What statutory rules or administrative provisions apply to Surface Transportation?,7 Surface Transportation Board Part Page 1120 Use of 1977–1978 study of motor carrier platform handling factors ................................................... 172 1121 Rail exemption procedures ....,Title49-vol8.pdf,17,Acts,Page 17,,,,valid,82,203
40,What statutory rules or administrative provisions apply to Subparts Reserved?,7 SUBCHAPTER H—PROGRAM REGULATIONS (CONTINUED) PART 1940—GENERAL Subparts A–K [Reserved] Subpart L—Methodology and Formulas for Allocation of Loan and Grant Program Funds Sec. 1940.551 Purpose and gen...,Title7-Vol13.pdf,17,Acts,Page 17,,,,valid,77,203
41,What statutory rules or administrative provisions apply to National Office?,An amount retained under the National Office control for each loan and grant program to provide flexibility in meeting situations of un- expected or justifiable need occurring during the fiscal year.,Title7-Vol13.pdf,19,Acts,Page 19,,,,valid,75,199
42,What statutory rules or administrative provisions apply to Nomenclature?,"5 CHAPTER XVIII—RURAL HOUSING SERVICE, RURAL BUSINESS-COOPERATIVE SERVICE, RURAL UTILITIES SERVICE, AND FARM SERVICE AGENCY, DEPARTMENT OF AGRICULTURE (CONTINUED) EDITORIAL NOTE: Nomenclature changes...",Title7-Vol14.pdf,15,Acts,Page 15,,,,valid,72,202
43,What statutory rules or administrative provisions apply to Rural Development?,"It is not the policy of Rural Development to renew, postpone, or modify annual installments due under a promissory note because of the bor- rower’s entry into the armed services.",Title7-Vol14.pdf,17,Acts,Page 17,,,,valid,77,178
44,What statutory rules or administrative provisions apply to Edition Government?,XVIII (1–1–25 Edition) § 1950.104 borrower and the Government can best be served by arranging for a voluntary sale of the security.,Title7-Vol14.pdf,18,Acts,Title 7 U.S.C. § 1950.104,,,,valid,78,131
45,What statutory rules or administrative provisions apply to Dry Kiln?,Copies of the Dry Kiln Operator’s Manual: (1) Are available for inspection at the National Archives and Records Admin- istration (NARA).,Title7-Vol5.pdf,17,Acts,Page 17,,,,valid,68,136
46,What statutory rules or administrative provisions apply to Animal Plant?,"9 Animal and Plant Health Inspection Service, USDA Pt. 301 301.45–10 Movement of live gypsy moths. 301.45–11 Costs and charges. 301.45–12 Disqualification of qualified cer- tified applicator to issue...",Title7-Vol5.pdf,19,Acts,Page 19,,,,valid,72,202
47,What statutory rules or administrative provisions apply to General?,"5 CHAPTER X—AGRICULTURAL MARKETING SERVICE (MARKETING AGREEMENTS AND ORDERS; MILK), DEPARTMENT OF AGRICULTURE Part Page 1000 General provisions of Federal milk marketing or- ders ........................",Title7-Vol9.pdf,15,Acts,Page 15,,,,valid,67,203
48,What statutory rules or administrative provisions apply to Scope Purpose?,7 PART 1000—GENERAL PROVISIONS OF FEDERAL MILK MARKETING ORDERS Subpart A—Scope and Purpose Sec. 1000.1 Scope and purpose of this part 1000. Subpart B—Definitions 1000.2 General definitions. 1000.3 Ro...,Title7-Vol9.pdf,17,Acts,Page 17,,,,valid,73,203
49,What statutory rules or administrative provisions apply to Edition Person?,"X (1–1–25 Edition) § 1000.3 (e) Person means any individual, part- nership, corporation, association, or other business unit.",Title7-Vol9.pdf,18,Acts,Title 7 U.S.C. § 1000.3,,,,valid,74,125
50,What are the primary holdings or legal conclusions detailed in this case opinion?,The Court has considered the pleadings and other materials of record and concludes that there is no genuine justiciable issue of material fact .,Court_001.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,81,144
51,What was the court's holding or analysis regarding the role of Roth?,"If we agree with respondent that a Roth IRA is an ineligible S corporation shareholder, then petitioner was not an S corporation during 20.03 and-should be taxed as a C corporation for that year .",Court_001.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,68,196
52,What was the court's holding or analysis regarding the role of State Washington?,CRC’s business activity CRC is a professional limited liability company formed under the laws of the State of Washington.,Court_002.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,80,121
53,What was the court's holding or analysis regarding the role of Clark State?,Clark PLLC Clark PLLC is a professional limited liability company organized under the laws of the State of Washington.,Court_002.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,75,118
54,How does the court interpret or define the term 'Benbow PS' in this judgment?,"Benbow, PS (“Benbow PS”), is a professional services corporation incorporated under the laws of the State of Washington by Rachelle A.",Court_002.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,77,134
55,What was the court's holding or analysis regarding the role of Show Cause?,"Order to Show Cause and the parties’ responses On November 17, 2021, we issued an Order to Show Cause (Doc.",Court_003.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,74,107
56,What was the court's holding or analysis regarding the role of Supreme Boechler?,"Hallmark filed its response, in which it requested that we defer ruling until the Supreme Court issued its decision in Boechler (in which the Court had granted a petition for a writ of certiorari).",Court_003.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,80,197
57,What was the court's holding or analysis regarding the role of As Commissioner?,Discussion As we and other courts have often held: “It is well settled that in order to maintain an action in this Court there must be [1] a valid notice of deficiency [issued by the Commissioner] and [2] a timely filed petition”.,Court_003.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,79,230
58,How does the court interpret or define the term 'TMP' in this judgment?,"MR36 Manager, LLC, as Tax Matters Partner (“TMP”) of Mill Road 36, timely filed a petition in this Court challenging the determination.",Court_004.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,71,135
59,What was the court's holding or analysis regarding the role of Henry County?,"Grant owned (outright or through a partnership) approximately 21,000 acres of land—4,000 acres of which are in Henry County.",Court_004.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,76,124
60,What was the court's holding or analysis regarding the role of May Petitioners?,"On May 11, 2018, respondent determined deficiencies in petitioners’ federal income tax and accuracy-related penalties under section 6662(a)4 as follows: 2 Petitioners Janet D.",Court_005.pdf,4,CourtJudgement,"Section 6662(a)4, Page 4",,,,valid,79,175
61,What was the court's holding or analysis regarding the role of Year Deficiency?,"Candland Year Deficiency § 6662(a) Penalty 2012 $287,535 $57,507 2013 244,578 48,916 2014 312,275 62,455 Petitioners timely filed Petitions in these cases on August 2, 2018, contesting respondent’s determinations.",Court_005.pdf,5,CourtJudgement,"Section 6662(a, Page 5",,,,valid,79,213
62,What was the court's holding or analysis regarding the role of Texas?,"Swift attributed the decrease to Texas’s efforts to limit medical malpractice liability, which had become law in 2003.",Court_006.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,69,118
63,What was the court's holding or analysis regarding the role of Celia Clark?,"Swift’s interest led to Celia Clark, a New York lawyer who specialized in the formation and maintenance of small insurance companies for closely held domestic businesses.",Court_006.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,75,170
64,What was the court's holding or analysis regarding the role of English?,"Although he did not speak English when he started school at the age of nine, he ultimately graduated from high school in the top five percent of his class.",Court_007.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,71,155
65,What was the court's holding or analysis regarding the role of Integrated Clinical?,"Patel conducts clinical research trials on experimental drugs for retina diseases through two companies he established: Integrated Clinical Research, LLC (ICR) and Strategic Clinical Research Group, LLC (SCR).",Court_007.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,83,209
66,What was the court's holding or analysis regarding the role of February Hospital?,"In February 2004, Hospital Properties purchased land across the street from OST and then built a hospital.",Court_007.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,81,106
67,What was the court's holding or analysis regarding the role of Salus Media?,"Strom served as vice president of medical affairs and chief medical officer for Salus Media, Inc., in Santa Barbara, California, an internet application for large corporations and managed care organizations.",Court_008.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,75,207
68,What was the court's holding or analysis regarding the role of Priceline?,"After that, she was recruited to become chief executive officer of Priceline.com, an online travel agency for finding discount rates for travel-related purchases such as airline tickets and hotel stays.",Court_008.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,73,202
69,What was the court's holding or analysis regarding the role of Strom Family?,"Strom had full access to, and signatory authority over the funds held in, the Strom Family Trust 4870 Account.",Court_008.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,76,110
70,What was the court's holding or analysis regarding the role of Global December?,"The value of accrued interest on convertible debentures held by YA Global on December 31, 2009, for the purpose of determining the partnership’s mark-to-market gain or loss for the year under section 475(a)(2); and 4.",Court_010.pdf,5,CourtJudgement,"Section 475(a)(2, Page 5",,,,valid,79,217
71,What was the court's holding or analysis regarding the role of Compass?,"DMR concluded that Compass “ha[d] a nil value” before the proposed recapitalization because “a substantial deficiency of net assets will result from both an orderly realisation of assets and from a liquidation of the assets.” According to the DMR report, “[u]nder t",Court_010.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,71,265
72,What was the court's holding or analysis regarding the role of Cordillera?,He researched pub- lic databases and courthouse records to find out who owned mineral in- terests in the area in which Cordillera was interested.,Court_011.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,74,145
73,What was the court's holding or analysis regarding the role of Pinson?,In those situations Pinson’s technicians insisted that the parent be a court-appointed guardian of the minor chil- dren before the parent could sign the lease on their behalf.,Court_011.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,70,175
74,What was the court's holding or analysis regarding the role of Joseph Lilly?,Respondent also argues that petitioners have not substantiated net operating loss (NOL) carryforward deductions they claimed (for 2012–14 for Joseph and Lilly and for 2012–16 for the other petitioners).,Court_012.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,76,202
75,What was the court's holding or analysis regarding the role of September Shahbaz?,"In addition on September 21, 2018, respondent determined deficiencies and accuracy-related penalties under section 6662(a) against Shahbaz, Anna, Shahrokh, and Farahnaz for their 2015 and 2016 taxable years as follows:",Court_012.pdf,5,CourtJudgement,"Section 6662(a, Page 5",,,,valid,81,218
76,What was the court's holding or analysis regarding the role of Simultaneous Opening?,"Petitioners’ Simultaneous Opening Brief, however, does not address certain issues that remain unresolved even after the filing of the Stipulation of Settled Issues.",Court_012.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,84,164
77,What was the court's holding or analysis regarding the role of Regulation Computer?,"Section 199, Treasury Regulation § 1.199-3, and Computer Software .....................................................................",Court_013.pdf,4,CourtJudgement,"Section 199, Page 4",,,,valid,83,135
78,What was the court's holding or analysis regarding the role of Gross Receipts?,Treatment of Gross Receipts as Derived from the Disposition of Computer Software ...................................,Court_013.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,78,116
79,What was the court's holding or analysis regarding the role of Derived Gross?,Reuters Derived Gross Receipts from the Disposition of 3000 Xtra and RMDS Analytical and Graphing Software.,Court_013.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,77,107
80,What was the court's holding or analysis regarding the role of Avrahami Syzygy?,"We’ve seen this before in Avrahami,1 Syzygy,2 Reserve Mechanical,3 Caylor,4 Keating,5 Swift,6 and Patel.7 In each of those cases, we found that the microcaptive insurer wasn’t really an insurance company.",Court_014.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,79,204
81,What was the court's holding or analysis regarding the role of Romana?,Angelo traveled while on furlough back to his home village where he quickly courted and married Romana.,Court_014.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,70,103
82,What was the court's holding or analysis regarding the role of Bella Romana?,"La Bella Romana itself flourished, and by 2012 the company boasted of more than 500 different products.",Court_014.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,76,103
83,What was the court's holding or analysis regarding the role of Blue August?,Lexington Blue ceased operating the quarry on the easement property in August 2008 and went out of business at an unclear time.,Court_016.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,75,127
84,What was the court's holding or analysis regarding the role of Lita Miller?,Ellis visited Lita Miller in early 2017 to discuss SSO’s potentially purchasing the property from SGC.,Court_016.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,75,102
85,What was the court's holding or analysis regarding the role of Best Use?,Highest and Best Use of the Property Before the Easement Was Granted ..................................................,Court_017.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,72,119
86,What was the court's holding or analysis regarding the role of Conclusion Highest?,The Court’s Conclusion on Highest and Best Use Before the Easement Was Granted .........................,Court_017.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,82,104
87,What was the court's holding or analysis regarding the role of Paul Adams?,"The principal question before the Court is the value of the easement Paul-Adams granted to the Oconee River Land Trust (Oconee Trust) in December 2017 over approximately 207 acres in Elberton, Georgia (Paul-Adams property).",Court_017.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,74,223
88,What was the court's holding or analysis regarding the role of Lake Jordan?,The easement property’s location on the northeast side of Lake Jordan presents some accessibility challenges.,Court_018.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,75,109
89,What was the court's holding or analysis regarding the role of When Mr?,"He also “opened up some logging roads on the property, so somebody could walk on it” despite the “pretty thick undergrowth.” When advertising these lots, Mr.",Court_018.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,71,157
90,What was the court's holding or analysis regarding the role of Investors?,Zak’s investment proposition was straightforward: [Investors] will share ownership of a valuable tract of highly desirable development land that is also highly suitable for permanent conservation.,Court_018.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,73,196
91,What was the court's holding or analysis regarding the role of Inter?,"After petitioner’s convictions were affirmed on appeal, the Inter- nal Revenue Service (IRS or respondent) commenced an examination concerning his civil tax liabilities.",Court_019.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,69,169
92,What was the court's holding or analysis regarding the role of See?,"Relying heavily on determinations made by the courts in the crim- inal case, respondent contends that some or all of the underpayments of tax required to be shown on petitioner’s tax returns were “due to fraud.” See § 6663(a).",Court_019.pdf,6,CourtJudgement,"Section 6663(a, Page 6",,,,valid,67,226
93,What was the court's holding or analysis regarding the role of Background Petitioner?,"Petitioner’s Background Petitioner earned an undergraduate degree in biology from Villa- nova University, a law degree from Temple University, and a master’s degree in business administration from the Wharton School.",Court_019.pdf,7,CourtJudgement,"Court Opinion, Page 7",,,,valid,85,216
94,What was the court's holding or analysis regarding the role of George Virginia?,In 2001 George’s acquired a commercial product complex in Virginia to unlock the east coast retail market.,Court_021.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,79,106
95,"How does the court interpret or define the term 's Processing, Inc.; George' in this judgment?","George’s, Inc., directly owns three subsidiaries: George’s Processing, Inc.; George’s Farms, Inc.; and George’s Gas Co.",Court_021.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,94,119
96,What was the court's holding or analysis regarding the role of George?,"With the number of entities involved in George’s chicken production and the less than clear demarcation between entities, expenses were often paid by the incorrect entity.",Court_021.pdf,6,CourtJudgement,"Court Opinion, Page 6",,,,valid,70,171
97,What was the court's holding or analysis regarding the role of Donald Farm?,"For decades, the acreage constituting the Donald Farm has been used for farming soybeans, crawfish, and rice.",Court_023.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,75,109
98,What was the court's holding or analysis regarding the role of Ryerson University?,"Gill has a bachelor’s degree in architecture from Ryerson University in Toronto, Canada, a master’s degree in architecture from the University of Texas at Arlington, and a master’s degree in architecture from Harvard University.",Court_024.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,82,228
99,What was the court's holding or analysis regarding the role of American Express?,"Hee routinely used his personal credit cards: an American Express Centurion card, a Navy Federal Credit Union card, and an American Express Optima Platinum card (collectively, Credit Cards).",Court_025.pdf,4,CourtJudgement,"Court Opinion, Page 4",,,,valid,80,190
100,What was the court's holding or analysis regarding the role of Chinaka Siu?,"The accounting firm of Chinaka & Siu and its certified public accountant (CPA) partners—Carlton Siu and David Chinaka—prepared Forms 1120, U.S.",Court_025.pdf,5,CourtJudgement,"Court Opinion, Page 5",,,,valid,75,143
101,What tax guidelines or requirements are detailed concerning Form Form?,"See the separate instructions for Form 940, Form 941, Form 943, Form 944, Form 945, or Form CT-1 for the filing addresses.",IRS_Publication_15.pdf,10,Tax,"IRS Pub 15, Page 10",,,,valid,70,122
102,What tax guidelines or requirements are detailed concerning Saturday Sunday?,"If any date shown next for filing a return, furnishing a form, or depositing taxes falls on a Saturday, Sunday, or legal holiday, the due date is the next business day.",IRS_Publication_15.pdf,11,Tax,"IRS Pub 15, Page 11",,,,valid,76,168
103,What tax guidelines or requirements are detailed concerning Form?,"Remind employees to submit a new Form W-4 if their filing status, other income, deductions, or credits have changed or will change for the next year.",IRS_Publication_15.pdf,12,Tax,"IRS Pub 15, Page 12",,,,valid,65,149
104,What tax regulations or compliance guidelines are detailed in this publication?,Nonprofit organizations that aren’t section 501(c)(3) organizations may also be exempt from federal income tax under section 501(a) or section 521.,IRS_Publication_15a.pdf,10,Tax,IRC § 501(c)(3,,,,valid,79,147
105,What tax guidelines or requirements are detailed concerning Form Medicare?,"If you’re self-employed and a member of a recognized religious sect opposed to insurance, you can apply for exemption by filing Form 4029 to waive all social security and Medicare benefits.",IRS_Publication_15a.pdf,11,Tax,"IRS Pub 15a, Page 11",,,,valid,74,189
106,What tax guidelines or requirements are detailed concerning Minimis Minimal?,De Minimis (Minimal) Benefits You can exclude the value of a de minimis benefit you pro- vide to an employee from the employee’s wages.,IRS_Publication_15b.pdf,10,Tax,"IRS Pub 15b, Page 10",,,,valid,76,135
